CustomerID,Count,Gender,Age,Senior Citizen,Married,Dependents,Number of Dependents
CUST00001,1,MALE,69,Yes,Yes,Yes,0
CUST00002,1,Male,32,No,Yes,Yes,2
CUST00003,1,female,78,Yes,Yes,No,0
CUST00004,1,Female,38,No,Yes,No,0
CUST00005,1,female,41,No,No,Yes,2
CUST00006,1,FEMALE,20,No,Yes,Yes,3
CUST00007,1,female,39,No,Yes,No,0
CUST00008,1,MALE,70,Yes,Yes,No,0
CUST00009,1,MALE,19,No,No,No,0
CUST00010,1,FEMALE,47,No,No,Yes,0
CUST00011,1,FEMALE,55,No,No,Yes,0
CUST00012,1,Female,19,No,No,No,0
CUST00013,1,Male,81,Yes,Yes,Yes,2
CUST00014,1,Female,77,Yes,Yes,Yes,0
CUST00015,1,female,38,No,Yes,No,0
CUST00016,1,Male,50,No,Yes,No,0
CUST00017,1,FEMALE,75,Yes,Yes,Yes,0
CUST00018,1,MALE,39,No,No,Yes,0
CUST00019,1,female,66,Yes,Yes,No,0
CUST00020,1,Female,76,Yes,No,No,0
CUST00021,1,FEMALE,59,No,Yes,No,0
CUST00022,1,Male,77,Yes,No,No,0
CUST00023,1,Male,32,No,No,No,0
CUST00024,1,MALE,79,Yes,No,Yes,1
CUST00025,1,FEMALE,79,Yes,Yes,No,0
CUST00026,1,FEMALE,64,No,No,No,0
CUST00027,1,female,79,Yes,Yes,Yes,3
CUST00028,1,female,68,Yes,Yes,No,0
CUST00029,1,Male,72,Yes,No,Yes,3
CUST00030,1,Female,81,Yes,No,No,0
CUST00031,1,Male,20,No,No,Yes,0
CUST00032,1,female,68,Yes,No,Yes,0
CUST00033,1,female,24,No,Yes,No,0
CUST00034,1,female,38,No,Yes,No,0
CUST00035,1,Male,56,No,Yes,Yes,2
CUST00036,1,FEMALE,35,No,No,Yes,3
CUST00037,1,Female,21,No,No,No,0
CUST00038,1,Female,77,Yes,No,Yes,3
CUST00039,1,female,31,No,No,Yes,2
CUST00040,1,MALE,26,No,Yes,Yes,3
CUST00041,1,Male,70,No,Yes,No,0
CUST00042,1,FEMALE,19,No,Yes,Yes,1
CUST00043,1,female,77,Yes,No,No,0
CUST00044,1,MALE,61,No,No,Yes,2
CUST00045,1,female,25,No,No,Yes,0
CUST00046,1,MALE,64,No,No,No,0
CUST00047,1,Female,52,No,No,No,0
CUST00048,1,MALE,53,No,Yes,No,0
CUST00049,1,Female,67,Yes,No,Yes,1
CUST00050,1,Female,21,No,Yes,Yes,3
CUST00051,1,Male,19,No,No,No,0
CUST00052,1,MALE,23,No,Yes,Yes,0
CUST00053,1,FEMALE,71,Yes,No,No,0
CUST00054,1,FEMALE,21,No,No,Yes,3
CUST00055,1,MALE,71,Yes,Yes,No,0
CUST00056,1,Male,80,Yes,No,No,0
CUST00057,1,FEMALE,35,No,No,Yes,3
CUST00058,1,female,61,No,No,No,0
CUST00059,1,FEMALE,51,No,Yes,No,0
CUST00060,1,Male,79,Yes,No,No,0
CUST00061,1,Female,31,No,No,No,0
CUST00062,1,Female,65,Yes,No,No,0
CUST00063,1,Female,32,No,No,Yes,0
CUST00064,1,Male,79,Yes,No,No,0
CUST00065,1,Female,57,No,Yes,Yes,0
CUST00066,1,Female,70,Yes,Yes,No,0
CUST00067,1,Male,41,No,Yes,Yes,1
CUST00068,1,female,43,No,Yes,No,0
CUST00069,1,FEMALE,77,Yes,No,Yes,3
CUST00070,1,Male,58,No,No,No,0
CUST00071,1,Male,46,No,Yes,No,0
CUST00072,1,MALE,32,No,Yes,Yes,2
CUST00073,1,Female,62,No,Yes,Yes,2
CUST00074,1,female,82,Yes,Yes,Yes,2
CUST00075,1,MALE,26,No,Yes,No,0
CUST00076,1,female,18,No,No,Yes,3
CUST00077,1,Female,25,No,Yes,No,0
CUST00078,1,Female,80,Yes,No,Yes,3
CUST00079,1,Female,28,No,No,No,0
CUST00080,1,FEMALE,25,No,Yes,No,0
CUST00081,1,female,52,No,No,Yes,0
CUST00082,1,female,52,No,No,No,0
CUST00083,1,MALE,50,No,No,No,0
CUST00084,1,Male,22,No,No,Yes,1
CUST00085,1,Female,58,No,Yes,Yes,3
CUST00086,1,Female,45,No,No,Yes,2
CUST00087,1,MALE,24,No,No,Yes,3
CUST00088,1,female,29,No,Yes,Yes,1
CUST00089,1,FEMALE,51,No,Yes,No,0
CUST00090,1,female,50,No,Yes,No,0
CUST00091,1,FEMALE,65,Yes,No,No,0
CUST00092,1,FEMALE,40,No,Yes,No,0
CUST00093,1,female,79,Yes,No,Yes,3
CUST00094,1,Female,54,No,Yes,Yes,1
CUST00095,1,FEMALE,61,No,No,No,0
CUST00096,1,MALE,52,No,Yes,No,0
CUST00097,1,MALE,82,Yes,Yes,No,0
CUST00098,1,FEMALE,64,No,No,No,0
CUST00099,1,Female,20,No,Yes,No,0
CUST00100,1,FEMALE,18,No,Yes,Yes,0
CUST00101,1,MALE,22,No,No,No,0
CUST00102,1,MALE,31,No,Yes,No,0
CUST00103,1,female,44,No,Yes,No,0
CUST00104,1,Female,26,No,No,No,0
CUST00105,1,female,32,No,No,Yes,1
CUST00106,1,Male,59,No,Yes,Yes,2
CUST00107,1,FEMALE,68,Yes,Yes,No,0
CUST00108,1,female,80,Yes,No,No,0
CUST00109,1,Female,69,Yes,No,Yes,3
CUST00110,1,FEMALE,21,No,Yes,Yes,3
CUST00111,1,FEMALE,40,No,No,Yes,2
CUST00112,1,FEMALE,32,No,Yes,No,0
CUST00113,1,FEMALE,60,No,Yes,No,0
CUST00114,1,FEMALE,46,No,No,No,0
CUST00115,1,Female,53,No,No,No,0
CUST00116,1,Male,30,No,No,No,0
CUST00117,1,MALE,49,No,No,No,0
CUST00118,1,Male,76,Yes,Yes,No,0
CUST00119,1,MALE,45,No,No,No,0
CUST00120,1,female,83,Yes,Yes,No,0
CUST00121,1,FEMALE,59,No,Yes,No,0
CUST00122,1,female,62,No,Yes,No,0
CUST00123,1,female,79,Yes,Yes,Yes,1
CUST00124,1,MALE,74,Yes,Yes,Yes,3
CUST00125,1,Female,23,No,No,No,0
CUST00126,1,FEMALE,45,No,No,No,0
CUST00127,1,female,45,No,Yes,No,0
CUST00128,1,Male,61,No,No,Yes,3
CUST00129,1,FEMALE,47,No,No,No,0
CUST00130,1,Female,79,Yes,Yes,No,0
CUST00131,1,FEMALE,79,Yes,Yes,No,0
CUST00132,1,female,18,No,No,Yes,1
CUST00133,1,Male,44,No,Yes,No,0
CUST00134,1,female,79,Yes,No,Yes,1
CUST00135,1,Female,20,No,No,No,0
CUST00136,1,MALE,44,No,Yes,Yes,1
CUST00137,1,Male,26,No,No,Yes,3
CUST00138,1,Female,79,Yes,No,No,0
CUST00139,1,Female,54,No,Yes,No,0
CUST00140,1,female,68,Yes,Yes,Yes,2
CUST00141,1,female,61,No,No,No,0
CUST00142,1,female,41,No,Yes,Yes,2
CUST00143,1,MALE,76,Yes,No,Yes,0
CUST00144,1,FEMALE,49,No,Yes,No,0
CUST00145,1,FEMALE,69,Yes,Yes,Yes,1
CUST00146,1,female,79,Yes,No,Yes,2
CUST00147,1,female,75,Yes,No,Yes,1
CUST00148,1,MALE,69,Yes,No,No,0
CUST00149,1,FEMALE,29,No,Yes,No,0
CUST00150,1,MALE,56,No,No,Yes,3
CUST00151,1,Female,19,No,Yes,No,0
CUST00152,1,FEMALE,20,No,Yes,No,0
CUST00153,1,female,73,Yes,No,No,0
CUST00154,1,Male,76,Yes,No,Yes,2
CUST00155,1,Female,19,No,Yes,No,0
CUST00156,1,Male,19,No,No,No,0
CUST00157,1,MALE,71,Yes,Yes,No,0
CUST00158,1,MALE,18,No,Yes,Yes,3
CUST00159,1,MALE,36,No,Yes,No,0
CUST00160,1,female,19,No,No,No,0
CUST00161,1,MALE,70,Yes,Yes,Yes,0
CUST00162,1,Male,61,No,Yes,No,0
CUST00163,1,Female,49,No,No,No,0
CUST00164,1,female,49,No,No,No,0
CUST00165,1,Female,72,Yes,No,Yes,2
CUST00166,1,MALE,73,Yes,Yes,No,0
CUST00167,1,FEMALE,34,No,No,Yes,2
CUST00168,1,female,55,No,Yes,No,0
CUST00169,1,MALE,41,No,Yes,Yes,0
CUST00170,1,female,28,No,Yes,No,0
CUST00171,1,FEMALE,33,No,No,Yes,1
CUST00172,1,Male,76,Yes,Yes,Yes,2
CUST00173,1,Male,20,No,Yes,No,0
CUST00174,1,Male,37,No,No,Yes,0
CUST00175,1,FEMALE,76,Yes,Yes,No,0
CUST00176,1,Female,53,No,No,Yes,3
CUST00177,1,FEMALE,36,No,No,No,0
CUST00178,1,FEMALE,84,Yes,No,Yes,0
CUST00179,1,MALE,36,No,No,No,0
CUST00180,1,Male,37,No,Yes,Yes,3
CUST00181,1,female,69,Yes,Yes,Yes,0
CUST00182,1,Female,50,No,Yes,No,0
CUST00183,1,female,57,No,Yes,No,0
CUST00184,1,MALE,56,No,No,Yes,2
CUST00185,1,MALE,18,No,Yes,Yes,1
CUST00186,1,Female,28,No,No,Yes,2
CUST00187,1,female,74,Yes,Yes,Yes,2
CUST00188,1,Female,67,Yes,Yes,No,0
CUST00189,1,Female,40,No,No,No,0
CUST00190,1,Male,48,No,Yes,Yes,3
CUST00191,1,female,59,No,Yes,No,0
CUST00192,1,Male,24,No,No,No,0
CUST00193,1,Male,33,No,Yes,Yes,2
CUST00194,1,Male,77,Yes,Yes,Yes,0
CUST00195,1,FEMALE,19,No,Yes,Yes,1
CUST00196,1,MALE,18,No,No,No,0
CUST00197,1,MALE,65,Yes,No,No,0
CUST00198,1,FEMALE,29,No,Yes,Yes,2
CUST00199,1,Female,54,No,Yes,Yes,1
CUST00200,1,female,49,No,Yes,Yes,3
CUST00201,1,female,26,No,No,No,0
CUST00202,1,female,36,No,Yes,Yes,2
CUST00203,1,Male,65,Yes,No,No,0
CUST00204,1,female,20,No,No,No,0
CUST00205,1,female,37,No,Yes,No,0
CUST00206,1,female,41,No,No,Yes,1
CUST00207,1,MALE,71,Yes,No,No,0
CUST00208,1,FEMALE,50,No,No,No,0
CUST00209,1,Female,41,No,No,No,0
CUST00210,1,FEMALE,53,No,No,Yes,0
CUST00211,1,female,55,No,Yes,Yes,1
CUST00212,1,Female,42,No,No,No,0
CUST00213,1,Female,35,No,No,No,0
CUST00214,1,FEMALE,83,Yes,No,No,0
CUST00215,1,FEMALE,71,Yes,No,No,0
CUST00216,1,FEMALE,52,No,No,No,0
CUST00217,1,FEMALE,78,Yes,Yes,Yes,0
CUST00218,1,Male,58,No,Yes,No,0
CUST00219,1,MALE,50,No,No,Yes,0
CUST00220,1,MALE,50,No,Yes,Yes,3
CUST00221,1,female,31,No,No,No,0
CUST00222,1,Male,38,No,Yes,No,0
CUST00223,1,Female,65,Yes,Yes,No,0
CUST00224,1,FEMALE,37,No,No,Yes,1
CUST00225,1,female,25,No,No,No,0
CUST00226,1,Female,24,No,No,Yes,2
CUST00227,1,MALE,84,Yes,No,No,0
CUST00228,1,Female,34,No,Yes,No,0
CUST00229,1,FEMALE,50,No,No,Yes,2
CUST00230,1,FEMALE,65,Yes,Yes,No,0
CUST00231,1,MALE,76,Yes,No,Yes,2
CUST00232,1,FEMALE,39,No,No,No,0
CUST00233,1,Male,47,No,Yes,Yes,2
CUST00234,1,female,55,No,No,Yes,1
CUST00235,1,MALE,68,Yes,No,No,0
CUST00236,1,MALE,71,Yes,Yes,No,0
CUST00237,1,Female,25,No,Yes,No,0
CUST00238,1,MALE,44,No,No,Yes,3
CUST00239,1,female,44,No,Yes,No,0
CUST00240,1,Male,38,No,No,No,0
CUST00241,1,Female,47,No,Yes,No,0
CUST00242,1,female,45,No,No,Yes,2
CUST00243,1,MALE,81,Yes,Yes,Yes,2
CUST00244,1,FEMALE,78,Yes,Yes,Yes,0
CUST00245,1,FEMALE,65,Yes,Yes,No,0
CUST00246,1,female,36,No,No,Yes,1
CUST00247,1,Male,21,No,No,Yes,0
CUST00248,1,FEMALE,52,No,No,No,0
CUST00249,1,female,81,Yes,Yes,No,0
CUST00250,1,Female,66,Yes,Yes,No,0
CUST00251,1,MALE,34,No,Yes,No,0
CUST00252,1,Male,61,No,Yes,Yes,0
CUST00253,1,Male,47,No,No,Yes,3
CUST00254,1,Female,63,No,Yes,Yes,2
CUST00255,1,Male,23,No,Yes,Yes,2
CUST00256,1,female,54,No,No,No,0
CUST00257,1,Male,41,No,No,Yes,1
CUST00258,1,Male,63,No,Yes,No,0
CUST00259,1,Male,70,Yes,Yes,No,0
CUST00260,1,female,77,Yes,Yes,Yes,0
CUST00261,1,MALE,80,Yes,No,No,0
CUST00262,1,FEMALE,49,No,Yes,No,0
CUST00263,1,Male,50,No,Yes,No,0
CUST00264,1,Female,84,Yes,Yes,No,0
CUST00265,1,Female,35,No,No,No,0
CUST00266,1,female,42,No,Yes,Yes,2
CUST00267,1,MALE,71,Yes,No,No,0
CUST00268,1,Male,75,Yes,No,Yes,3
CUST00269,1,female,84,Yes,No,No,0
CUST00270,1,FEMALE,63,No,No,No,0
CUST00271,1,MALE,41,No,No,Yes,0
CUST00272,1,MALE,49,No,Yes,Yes,3
CUST00273,1,female,64,No,Yes,No,0
CUST00274,1,Female,40,No,No,Yes,3
CUST00275,1,MALE,83,Yes,No,Yes,3
CUST00276,1,Female,44,No,Yes,Yes,2
CUST00277,1,MALE,19,No,No,No,0
CUST00278,1,MALE,34,No,Yes,Yes,3
CUST00279,1,MALE,50,No,Yes,Yes,3
CUST00280,1,FEMALE,26,No,No,Yes,2
CUST00281,1,Female,60,No,Yes,No,0
CUST00282,1,FEMALE,65,Yes,Yes,Yes,2
CUST00283,1,Female,56,No,Yes,Yes,2
CUST00284,1,FEMALE,59,No,No,No,0
CUST00285,1,FEMALE,43,No,Yes,Yes,1
CUST00286,1,FEMALE,67,Yes,Yes,No,0
CUST00287,1,female,42,No,Yes,No,0
CUST00288,1,FEMALE,41,No,No,No,0
CUST00289,1,MALE,30,No,No,Yes,0
CUST00290,1,Male,77,Yes,No,Yes,0
CUST00291,1,FEMALE,24,No,No,No,0
CUST00292,1,Male,74,Yes,Yes,Yes,1
CUST00293,1,Male,53,No,Yes,Yes,1
CUST00294,1,MALE,62,No,Yes,No,0
CUST00295,1,Male,37,No,Yes,Yes,1
CUST00296,1,Male,82,Yes,No,Yes,2
CUST00297,1,Male,25,No,No,Yes,3
CUST00298,1,Female,33,No,No,Yes,2
CUST00299,1,FEMALE,31,No,Yes,No,0
CUST00300,1,FEMALE,32,No,No,Yes,3
CUST00301,1,Male,83,Yes,No,No,0
CUST00302,1,MALE,49,No,Yes,No,0
CUST00303,1,Female,80,Yes,Yes,No,0
CUST00304,1,MALE,68,Yes,Yes,Yes,0
CUST00305,1,MALE,42,No,No,No,0
CUST00306,1,Male,75,Yes,Yes,Yes,3
CUST00307,1,female,80,Yes,No,No,0
CUST00308,1,Male,79,Yes,No,Yes,1
CUST00309,1,female,39,No,Yes,No,0
CUST00310,1,Female,75,Yes,No,No,0
CUST00311,1,female,75,Yes,No,No,0
CUST00312,1,Male,66,Yes,Yes,No,0
CUST00313,1,Male,69,Yes,No,No,0
CUST00314,1,MALE,59,No,No,No,0
CUST00315,1,Male,32,No,No,No,0
CUST00316,1,Male,71,Yes,Yes,No,0
CUST00317,1,FEMALE,77,Yes,No,No,0
CUST00318,1,FEMALE,25,No,Yes,Yes,0
CUST00319,1,MALE,70,Yes,Yes,Yes,3
CUST00320,1,female,77,Yes,No,Yes,1
CUST00321,1,female,22,No,Yes,No,0
CUST00322,1,FEMALE,23,No,No,Yes,3
CUST00323,1,Female,64,No,Yes,No,0
CUST00324,1,FEMALE,72,Yes,Yes,Yes,3
CUST00325,1,Female,57,No,No,Yes,3
CUST00326,1,female,69,Yes,Yes,No,0
CUST00327,1,FEMALE,33,No,No,Yes,0
CUST00328,1,Male,30,No,No,No,0
CUST00329,1,Female,47,No,No,Yes,3
CUST00330,1,Female,36,No,No,Yes,1
CUST00331,1,Female,34,No,No,Yes,3
CUST00332,1,female,80,Yes,Yes,No,0
CUST00333,1,MALE,36,No,No,Yes,1
CUST00334,1,Male,75,Yes,No,No,0
CUST00335,1,FEMALE,72,Yes,No,Yes,2
CUST00336,1,Female,79,Yes,No,Yes,0
CUST00337,1,female,40,No,Yes,No,0
CUST00338,1,Female,26,No,Yes,No,0
CUST00339,1,FEMALE,29,No,Yes,Yes,2
CUST00340,1,Male,18,No,Yes,Yes,2
CUST00341,1,Female,75,Yes,No,No,0
CUST00342,1,female,18,No,No,No,0
CUST00343,1,female,51,No,No,Yes,0
CUST00344,1,MALE,65,Yes,No,No,0
CUST00345,1,female,18,No,No,Yes,2
CUST00346,1,MALE,33,No,No,No,0
CUST00347,1,Male,78,Yes,No,No,0
CUST00348,1,FEMALE,81,Yes,No,Yes,1
CUST00349,1,MALE,80,Yes,No,Yes,1
CUST00350,1,Female,39,No,No,Yes,1
CUST00351,1,Female,84,Yes,Yes,Yes,1
CUST00352,1,FEMALE,43,No,Yes,No,0
CUST00353,1,female,33,No,No,No,0
CUST00354,1,Female,68,Yes,No,No,0
CUST00355,1,MALE,74,Yes,Yes,No,0
CUST00356,1,FEMALE,46,No,No,No,0
CUST00357,1,Female,64,No,No,Yes,2
CUST00358,1,female,79,Yes,No,Yes,0
CUST00359,1,female,33,No,No,No,0
CUST00360,1,Female,65,Yes,No,No,0
CUST00361,1,FEMALE,56,No,Yes,Yes,2
CUST00362,1,Male,50,No,No,No,0
CUST00363,1,Female,40,No,Yes,Yes,0
CUST00364,1,female,27,No,No,No,0
CUST00365,1,Male,51,No,No,No,0
CUST00366,1,FEMALE,69,Yes,No,No,0
CUST00367,1,female,27,No,Yes,Yes,0
CUST00368,1,FEMALE,36,No,Yes,Yes,2
CUST00369,1,Female,75,Yes,No,No,0
CUST00370,1,FEMALE,18,No,Yes,No,0
CUST00371,1,female,21,No,Yes,Yes,2
CUST00372,1,Female,33,No,Yes,Yes,1
CUST00373,1,female,41,No,No,No,0
CUST00374,1,female,19,No,Yes,Yes,0
CUST00375,1,Male,49,No,Yes,No,0
CUST00376,1,MALE,41,No,Yes,No,0
CUST00377,1,FEMALE,29,No,No,No,0
CUST00378,1,FEMALE,67,Yes,Yes,Yes,0
CUST00379,1,Male,52,No,Yes,Yes,3
CUST00380,1,FEMALE,50,No,No,No,0
CUST00381,1,Male,50,No,No,No,0
CUST00382,1,FEMALE,78,Yes,No,No,0
CUST00383,1,FEMALE,68,Yes,Yes,No,0
CUST00384,1,female,60,No,No,Yes,0
CUST00385,1,Male,29,No,No,No,0
CUST00386,1,FEMALE,84,Yes,Yes,Yes,1
CUST00387,1,MALE,82,Yes,No,No,0
CUST00388,1,Male,50,No,Yes,No,0
CUST00389,1,Male,57,No,No,Yes,0
CUST00390,1,Male,60,No,No,Yes,3
CUST00391,1,female,61,No,Yes,Yes,3
CUST00392,1,Male,46,No,Yes,Yes,0
CUST00393,1,female,30,No,Yes,Yes,1
CUST00394,1,MALE,29,No,Yes,Yes,3
CUST00395,1,Female,63,No,No,No,0
CUST00396,1,female,19,No,No,Yes,3
CUST00397,1,FEMALE,52,No,Yes,No,0
CUST00398,1,Male,25,No,No,Yes,3
CUST00399,1,Female,43,No,Yes,Yes,2
CUST00400,1,female,51,No,No,Yes,1
CUST00401,1,FEMALE,24,No,Yes,No,0
CUST00402,1,Female,75,Yes,Yes,No,0
CUST00403,1,MALE,46,No,Yes,Yes,1
CUST00404,1,female,53,No,Yes,Yes,2
CUST00405,1,female,38,No,No,No,0
CUST00406,1,MALE,53,No,Yes,Yes,0
CUST00407,1,female,27,No,Yes,No,0
CUST00408,1,Male,41,No,No,Yes,3
CUST00409,1,female,81,Yes,No,No,0
CUST00410,1,Male,66,Yes,Yes,No,0
CUST00411,1,female,53,No,No,Yes,3
CUST00412,1,FEMALE,41,No,No,Yes,2
