ID,Zip Code,Population
1,88565,5069
2,81855,78565
3,10194,28321
4,91460,43484
5,79319,77311
6,49821,11269
7,84638,11359
8,86468,33553
9,34144,26570
10,27432,18074
11,50316,5233
12,41756,35071
13,25564,86322
14,26821,67878
15,38764,98127
16,81982,95005
17,62761,20144
18,16636,25599
19,56779,18638
20,96852,37640
21,52290,42323
22,86736,91491
23,23180,65843
24,14959,9143
25,93352,54280
26,98601,93157
27,65149,64237
28,19013,11160
29,95884,9524
30,23147,8681
31,53792,29415
32,49330,95291
33,12615,55052
34,10002,5538
35,21521,16878
36,14912,25305
37,51856,88171
38,15721,5619
39,68970,72240
40,83693,29898
41,72204,23133
42,17356,65218
43,81541,82370
44,68084,80159
45,33701,20769
46,26758,11221
47,67002,11769
48,20537,95372
49,37262,70180
50,15660,82977
51,31840,87207
52,39000,34419
53,73885,60100
54,39053,18347
55,13345,74870
56,29255,5760
57,99056,44510
58,82836,96493
59,18349,70831
60,63416,38170
61,17022,29686
62,18964,68932
63,48673,80890
64,27851,49219
65,83482,95506
66,93109,45992
67,81851,54001
68,92266,25295
69,85879,34638
70,36033,72471
71,65029,48122
72,45260,23969
73,56919,10622
74,69838,80279
75,33567,47605
76,39001,21027
77,16087,52129
78,22508,65518
79,94687,32139
80,21356,12316
81,52803,49148
82,11889,55035
83,41421,38247
84,26977,74424
85,49475,52217
86,78466,69217
87,42392,89049
88,74373,19452
89,28907,6073
90,53899,51244
91,21441,17481
92,77654,30177
93,14566,9856
94,53379,96014
95,75122,42419
96,59418,62320
97,55660,87579
98,17410,31777
99,79872,39621
100,95198,58753
101,84415,99389
102,86131,59752
103,80425,64906
104,49658,70917
105,34015,28557
106,34273,62950
107,65213,80143
108,76470,37992
109,30254,71685
110,19282,66715
111,83537,39002
112,68690,79432
113,50361,66438
114,56817,47847
115,35125,32489
116,71085,12478
117,50446,59128
118,12140,76955
119,61690,64070
120,90832,56511
121,55713,69050
122,58217,95874
123,64925,57594
124,93185,93677
125,37037,68067
126,52891,94008
127,82708,31247
128,67215,51241
129,30600,21332
130,25353,93129
131,20278,83591
132,14027,76424
133,91024,49126
134,32834,68553
135,66068,98461
136,91608,84047
137,15021,85100
138,15332,67691
139,70323,67963
140,90878,88202
141,77094,13226
142,67642,84306
143,84294,42108
144,22299,97137
145,23760,13343
146,28679,66193
147,80376,42702
148,69421,25628
149,85090,65985
150,68382,77492
151,72013,60759
152,27076,85010
153,85591,32025
154,90524,27006
155,18439,67351
156,20081,88150
157,23144,59967
158,23329,26568
159,78011,52885
160,45838,69947
161,62120,94815
162,68252,31662
163,73426,98276
164,18879,21781
165,42387,62091
166,84423,61839
167,94516,83925
168,91217,10234
169,42900,85722
170,72583,40152
171,22295,77032
172,94011,20264
173,76626,84513
174,32187,16311
175,59764,76924
176,84858,51009
177,13858,91403
178,27586,61620
179,88130,32883
180,40369,88954
181,99648,23268
182,16285,42333
183,91942,47130
184,97921,32283
185,30678,76391
186,67922,95301
187,77942,70161
188,26953,45810
189,33624,59941
190,98994,76333
191,36074,34001
192,61916,91767
193,65903,11810
194,52898,50839
195,71792,36930
196,89112,28091
197,14026,32073
198,65780,18856
199,53734,96688
200,66063,65624
201,67568,40558
202,24115,84938
203,39409,80883
204,89824,94181
205,75775,61480
206,14676,82093
207,70675,65500
208,31088,70321
209,50098,11928
210,24056,50303
211,22506,84952
212,57928,21995
213,81893,93359
214,41109,64397
215,45026,93762
216,96764,14697
217,55393,96321
218,97796,57750
219,37641,27055
220,52470,99663
221,72797,52486
222,49711,85086
223,12427,60364
224,70947,14003
225,66633,37085
226,71553,47378
227,74978,23592
228,65560,25456
229,88358,67425
230,13201,79432
231,61689,90670
232,73843,89450
233,60040,95803
234,54755,40845
235,49283,78524
236,50740,12525
237,52025,35293
238,88538,83313
239,46533,43232
240,24824,55689
241,69978,59255
242,26220,15611
243,40378,57510
244,85339,25575
245,66861,11580
246,64576,30600
247,85893,10907
248,44236,80007
249,57972,11780
250,48752,86853
251,71451,10735
252,94020,55727
253,68873,99040
254,43540,33432
255,75006,46763
256,83731,55440
257,43787,35253
258,87558,36526
259,14798,59211
260,51174,52448
261,65571,48079
262,62005,35832
263,78079,45305
