CustomerID,Count,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,JoinDate,LastPaymentDate,CancellationDate
CUST00001,1,Q4,Yes,0,57,Offer B,No,34.3,Yes,Fiber Optic,154.4,Yes,No,Yes,Yes,Yes,No,Yes,No,One Year,Yes,Bank Withdrawal,47.8,2767.68,18.49,7.47,69.58,2020-03-31,2024-12-14,
CUST00002,1,Q1,Yes,0,69,Offer D,No,24.22,No,Cable,52.6,Yes,No,Yes,No,Yes,No,No,No,Month-to-Month,No,Bank Withdrawal,74.76,5207.79,17.45,6.88,68.45,2019-03-31,2024-12-26,
CUST00003,1,Q2,No,0,43,Offer A,Yes,17.2,Yes,No,56.8,Yes,No,Yes,Yes,No,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,71.86,3108.31,7.36,0.75,64.93,2021-05-31,2024-12-08,
CUST00004,1,Q2,No,2,22,Offer C,No,39.41,No,Fiber Optic,217.1,Yes,No,Yes,Yes,No,Yes,No,No,One Year,No,Mailed Check,96.41,2164.29,23.47,1.11,45.08,2023-02-28,2024-12-21,
CUST00005,1,Q3,Yes,0,17,Offer C,Yes,16.44,Yes,No,99.6,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Mailed Check,77.9,1358.74,10.91,8.96,46.72,2023-07-31,2024-12-20,
CUST00006,1,Q2,No,2,36,Offer C,No,21.81,Yes,Fiber Optic,175.7,No,Yes,No,No,Yes,Yes,No,No,Two Year,Yes,Mailed Check,94.66,3451.78,21.3,0.94,73.14,2021-12-31,2024-12-14,
CUST00007,1,Q3,No,0,16,Offer E,No,18.17,Yes,DSL,251.7,Yes,No,Yes,Yes,Yes,No,Yes,No,Month-to-Month,No,Mailed Check,33.62,578.97,0.47,10.5,48.23,2023-08-31,2024-12-21,
CUST00008,1,Q2,No,1,29,None,Yes,8.56,No,Cable,29.0,No,Yes,No,No,No,Yes,No,No,One Year,Yes,Mailed Check,69.65,2042.85,12.94,1.0,77.25,2022-07-31,2024-12-06,2024-06-18
CUST00009,1,Q1,Yes,1,31,Offer A,Yes,21.93,No,No,62.7,No,No,Yes,No,No,No,No,No,Two Year,Yes,Mailed Check,60.25,1908.02,10.3,8.39,41.42,2022-05-31,2024-12-16,
CUST00010,1,Q2,No,1,59,Offer B,No,35.46,No,DSL,80.2,No,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,47.66,2845.95,20.8,4.31,16.7,2020-01-31,2024-12-26,2021-09-15
CUST00011,1,Q3,Yes,2,20,None,No,26.58,Yes,No,249.0,Yes,Yes,No,Yes,No,No,No,Yes,One Year,No,Credit Card,98.87,2017.83,3.99,9.98,0.7,2023-04-30,2024-12-08,2023-10-12
CUST00012,1,Q1,No,2,16,Offer A,Yes,31.74,Yes,Cable,267.2,No,No,No,No,No,No,Yes,No,Two Year,No,Credit Card,105.72,1721.71,14.18,4.06,75.52,2023-08-31,2024-12-09,
CUST00013,1,Q1,Yes,0,33,None,Yes,22.87,Yes,No,254.0,No,No,Yes,No,Yes,No,No,No,Two Year,Yes,Credit Card,60.61,2034.02,22.53,3.2,9.97,2022-03-31,2024-12-09,
CUST00014,1,Q3,No,0,46,Offer D,No,37.92,Yes,Fiber Optic,66.6,Yes,No,Yes,Yes,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal,87.15,4009.88,9.79,10.84,0.62,2021-02-28,2024-12-05,2022-02-13
CUST00015,1,Q2,No,1,67,Offer A,Yes,19.22,Yes,Fiber Optic,159.0,No,Yes,Yes,No,No,No,No,No,One Year,Yes,Bank Withdrawal,38.58,2599.98,8.09,8.51,70.26,2019-05-31,2024-12-04,2020-04-17
CUST00016,1,Q2,Yes,2,40,Offer B,Yes,11.56,Yes,No,142.1,Yes,No,Yes,No,No,No,Yes,No,One Year,Yes,Bank Withdrawal,76.63,3100.76,8.57,10.09,38.17,2021-08-31,2024-12-13,2024-03-09
CUST00017,1,Q2,No,3,48,Offer A,Yes,27.26,Yes,No,73.6,No,Yes,Yes,Yes,Yes,No,Yes,No,Two Year,Yes,Mailed Check,58.76,2852.48,5.85,11.86,60.46,2020-12-31,2024-12-23,
CUST00018,1,Q1,Yes,1,46,Offer D,No,36.8,No,Cable,135.4,Yes,No,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,79.9,3710.42,0.25,12.18,79.54,2021-02-28,2024-12-16,
CUST00019,1,Q1,Yes,0,61,Offer A,No,29.18,No,Cable,279.3,Yes,No,No,Yes,Yes,Yes,No,Yes,One Year,No,Bank Withdrawal,21.87,1345.51,11.1,0.34,36.94,2019-11-30,2024-12-04,
CUST00020,1,Q1,Yes,1,38,Offer C,Yes,32.78,Yes,Fiber Optic,78.5,Yes,No,No,Yes,No,Yes,Yes,No,Two Year,Yes,Mailed Check,59.41,2277.2,17.49,5.39,45.67,2021-10-31,2024-12-19,
