CustomerID,Count,Quarter,Satisfaction Score,Satisfaction Score Label,Customer Status,Churn Label,Churn Value,Churn Score,Churn Score Category,CLTV,CLTV Category,Churn Category,Churn Reason
CUST00001,1,Q1,1,Very Unsatisfied,Stayed,No,0,3,1-10,5404,5000-5499,,
CUST00002,1,Q4,3,Neutral,Stayed,No,0,92,91-100,4387,4000-4499,,
CUST00003,1,Q2,1,Very Unsatisfied,Stayed,No,0,21,21-30,2451,2000-2499,,
CUST00004,1,Q4,4,Satisfied,Stayed,No,0,2,1-10,5928,5500-5999,,
CUST00005,1,Q2,1,Very Unsatisfied,Stayed,No,0,30,31-40,5082,5000-5499,,
CUST00006,1,Q2,3,Neutral,Stayed,No,0,83,81-90,5459,5000-5499,,
CUST00007,1,Q1,2,Unsatisfied,Stayed,No,0,12,11-20,5482,5000-5499,,
CUST00008,1,Q1,3,Neutral,Churned,Yes,1,76,71-80,6073,6000-6499,Other,Moving
CUST00009,1,Q4,1,Very Unsatisfied,Stayed,No,0,18,11-20,5692,5500-5999,,
CUST00010,1,Q1,5,Very Satisfied,Churned,Yes,1,36,31-40,5654,5500-5999,Other,Poor service
CUST00011,1,Q1,3,Neutral,Churned,Yes,1,97,91-100,6249,6000-6499,Price,No longer needed
CUST00012,1,Q1,5,Very Satisfied,Stayed,No,0,82,81-90,2773,2500-2999,,
CUST00013,1,Q4,2,Unsatisfied,Stayed,No,0,37,31-40,2993,2500-2999,,
CUST00014,1,Q3,4,Satisfied,Churned,Yes,1,30,31-40,4211,4000-4499,Dissatisfaction,No longer needed
CUST00015,1,Q2,4,Satisfied,Churned,Yes,1,84,81-90,6604,6500-6999,Competitor,Found better deal
CUST00016,1,Q3,2,Unsatisfied,Churned,Yes,1,80,81-90,3427,3000-3499,Other,No longer needed
CUST00017,1,Q1,4,Satisfied,Stayed,No,0,18,11-20,6379,6000-6499,,
CUST00018,1,Q4,4,Satisfied,Stayed,No,0,71,71-80,6354,6000-6499,,
CUST00019,1,Q3,5,Very Satisfied,Stayed,No,0,18,11-20,2104,2000-2499,,
CUST00020,1,Q4,3,Neutral,Stayed,No,0,48,41-50,6462,6000-6499,,
CUST00021,1,Q1,4,Satisfied,Stayed,No,0,45,41-50,5179,5000-5499,,
CUST00022,1,Q3,2,Unsatisfied,Stayed,No,0,47,41-50,3447,3000-3499,,
CUST00023,1,Q2,1,Very Unsatisfied,Churned,Yes,1,40,41-50,5041,5000-5499,Price,Too expensive
CUST00024,1,Q2,3,Neutral,Stayed,No,0,60,61-70,5228,5000-5499,,
CUST00025,1,Q2,4,Satisfied,Churned,Yes,1,55,51-60,2616,2500-2999,Other,Found better deal
CUST00026,1,Q1,1,Very Unsatisfied,Stayed,No,0,15,11-20,2467,2000-2499,,
CUST00027,1,Q4,2,Unsatisfied,Stayed,No,0,87,81-90,3735,3500-3999,,
CUST00028,1,Q4,5,Very Satisfied,Stayed,No,0,100,91-100,3243,3000-3499,,
CUST00029,1,Q1,2,Unsatisfied,Stayed,No,0,70,71-80,6234,6000-6499,,
CUST00030,1,Q3,5,Very Satisfied,Churned,Yes,1,12,11-20,5553,5500-5999,Dissatisfaction,Moving
CUST00031,1,Q1,5,Very Satisfied,Stayed,No,0,24,21-30,5431,5000-5499,,
CUST00032,1,Q1,3,Neutral,Stayed,No,0,16,11-20,4451,4000-4499,,
CUST00033,1,Q1,4,Satisfied,Stayed,No,0,0,1-10,5331,5000-5499,,
CUST00034,1,Q3,1,Very Unsatisfied,Churned,Yes,1,62,61-70,6153,6000-6499,Price,Poor service
CUST00035,1,Q1,1,Very Unsatisfied,Stayed,No,0,61,61-70,6362,6000-6499,,
CUST00036,1,Q4,3,Neutral,Stayed,No,0,46,41-50,6409,6000-6499,,
CUST00037,1,Q2,1,Very Unsatisfied,Stayed,No,0,30,31-40,4715,4500-4999,,
CUST00038,1,Q2,5,Very Satisfied,Stayed,No,0,43,41-50,5321,5000-5499,,
CUST00039,1,Q3,4,Satisfied,Stayed,No,0,62,61-70,3295,3000-3499,,
CUST00040,1,Q3,4,Satisfied,Stayed,No,0,32,31-40,2655,2500-2999,,
CUST00041,1,Q2,5,Very Satisfied,Stayed,No,0,40,41-50,2683,2500-2999,,
CUST00042,1,Q3,4,Satisfied,Stayed,No,0,6,1-10,4569,4500-4999,,
CUST00043,1,Q1,2,Unsatisfied,Churned,Yes,1,29,21-30,4353,4000-4499,Price,Found better deal
CUST00044,1,Q4,1,Very Unsatisfied,Churned,Yes,1,22,21-30,6502,6500-6999,Price,Moving
CUST00045,1,Q4,3,Neutral,Stayed,No,0,83,81-90,4514,4500-4999,,
CUST00046,1,Q1,3,Neutral,Stayed,No,0,13,11-20,5496,5000-5499,,
CUST00047,1,Q4,5,Very Satisfied,Stayed,No,0,35,31-40,6955,6500-6999,,
CUST00048,1,Q1,5,Very Satisfied,Stayed,No,0,69,61-70,4304,4000-4499,,
CUST00049,1,Q4,3,Neutral,Stayed,No,0,55,51-60,6725,6500-6999,,
